Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Sical Logistics,168.10,155,168.10,160.10,8,null,/india/stockpricequote/trading/sicallogistics/SL15 
Minda Corp,656.35,656.35,656.35,625.10,31.25,5,/india/stockpricequote/autoancillaries/mindacorporation/MC23 
Asian Granito,163.85,160.25,163.85,156.05,7.80,5,/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04 
KSE,461.80,461.80,461.80,439.85,21.95,5,/india/stockpricequote/edibleoilssolventextraction/kse/KSE 
Kalyani Forge,248.05,236.55,248.05,236.25,11.80,4.99,/india/stockpricequote/castingsforgings/kalyaniforge/KF02 
Welspun Ent,335.45,335.45,335.45,319.50,15.95,4.99,/india/stockpricequote/miscellaneous/welspunenterprises/WE01 
Maithan Alloys,219.70,214.10,219.70,209.25,10.45,4.99,/india/stockpricequote/miningminerals/maithanalloys/MA04 
RamkrishnaForge,311.70,300,311.70,296.90,14.80,4.99,/india/stockpricequote/castingsforgings/ramkrishnaforgings/RF17 
Accel Frontline,92.80,87,92.80,88.40,4.40,4.98,/india/stockpricequote/computers-softwaremediumsmall/accelfrontline/AF29 
SHARIA BEES,194.95,190,194.95,185.70,9.25,4.98,/india/stockpricequote/finance-investments/goldmansachsspcnxniftyshariahindexexchange/SBE02 
SKM Egg Product,125.65,125.65,125.65,119.70,5.95,4.98,/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM 
Shreyas Shippin,116.10,116.10,116.10,110.60,5.50,4.97,/india/stockpricequote/shipping/shreyasshipping/SS12 
Delta Magnets,35.95,35.95,35.95,34.25,1.70,4.97,/india/stockpricequote/electricals/deltamagnets/DM04 
Vinyl Chemicals,65.60,61.50,65.60,62.50,3.10,4.96,/india/stockpricequote/chemicals/vinylchemicals(india)/VCI02 
Welspun Project,37.20,37.15,37.20,35.45,1.75,4.96,/india/stockpricequote/constructioncontracting-civil/welspunprojects/MSK 
V2 Retail,43.90,43.90,43.90,41.85,2.05,4.94,/india/stockpricequote/trading/v2retail/VR02 
Neo Corp,34.35,33,34.35,32.75,1.60,4.90,/india/stockpricequote/packaging/neocorpinternational/NS02 
Mcnally Bh Engg,88.45,81.25,87.60,83.55,4.05,4.89,/india/stockpricequote/engineering/mcnallybharatengineering/MBE 
Lyka Labs,25.95,23.60,25.95,24.75,1.20,4.85,/india/stockpricequote/pharmaceuticals/lykalabs/LL02 
Solar Ind,2678.10,2461.05,2649.80,2527.50,122.30,4.85,/india/stockpricequote/chemicals/solarindustriesindia/SII04 
Nitco,30.35,28.10,30.35,28.95,1.40,4.84,/india/stockpricequote/ceramicsgranite/nitco/N52 
STEL Holdings,30.65,28,30.60,29.20,1.40,4.84,/india/stockpricequote/finance-investments/stelholdings/STE01 
Bombay Burmah,319.90,306.20,315.65,301.25,14.40,4.79,/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT 
Dalmia Bharat,487,459,480.35,458.60,21.75,4.78,/india/stockpricequote/cement-major/dalmiabharat/DBE 
Tata Coffee,984,923,969.75,926.15,43.60,4.74,/india/stockpricequote/plantations-teacoffee/tatacoffee/TC14 
Ansal Housing,32.80,31.50,32.25,30.80,1.45,4.71,/india/stockpricequote/constructioncontracting-housing/ansalhousingconstruction/AHC 
WABCO India,4399,4130,4291.90,4099.85,192.05,4.71,/india/stockpricequote/autoancillaries/wabcoindia/WAB 
Emkay Global,54.95,50.55,54.90,52.45,2.45,4.68,/india/stockpricequote/finance-general/emkayglobalfinancialservices/EGF 
Rashtriya Chem,72.45,69.05,71.80,68.60,3.20,4.67,/india/stockpricequote/fertilisers/rashtriyachemicalsfertilisers/RCF01 
Shemaroo Ent,174.50,164,172.75,165.10,7.65,4.66,/india/stockpricequote/mediaentertainment/shemarooentertainment/SE03 
Simplex Infra,314.80,304.80,310.45,296.80,13.65,4.63,/india/stockpricequote/constructioncontracting-civil/simplexinfrastructures/SI82 
Rel Capital,504,481.60,502.05,480.05,22,4.60,/india/stockpricequote/finance-investments/reliancecapital/RC 
Indiabulls Real,84.95,79.20,84.40,80.70,3.70,4.58,/india/stockpricequote/constructioncontracting-realestate/indiabullsrealestate/IRE01 
Williamson Mago,62.50,58.20,62.30,59.60,2.70,4.58,/india/stockpricequote/finance-investments/williamsonmagorcompany/WMC 
Kalindee Rail,116.25,108.10,112.95,108.10,4.85,4.53,/india/stockpricequote/engineering/kalindeerailnirman(engineers)/KRN 
Marico Kaya Ent,810,755,770.25,737.20,33.05,4.49,/india/stockpricequote/miscellaneous/maricokayaenterprises/MKE01 
HSIL,403.45,374.80,392,375.35,16.65,4.48,/india/stockpricequote/ceramicsgranite/hsil/HSI02 
Guj Ind Power,90.60,85.05,89.30,85.50,3.80,4.44,/india/stockpricequote/power-generationdistribution/gujaratindustriespowerco/GIP 
Pidilite Ind,434,416.10,432.85,414.55,18.30,4.44,/india/stockpricequote/chemicals/pidiliteindustries/PI11 
Repco Home,583.30,547,572.25,548.30,23.95,4.41,/india/stockpricequote/finance-housing/repcohomefinance/RHF 
Alpine Hsg,24,24,24,23,1,4.37,/india/stockpricequote/constructioncontracting-housing/alpinehousingdevcorp/AHD 
Aegis Logistics,401.90,384,395.75,379.35,16.40,4.35,/india/stockpricequote/transportlogistics/aegislogistics/AL9 
Central Bank,77.85,73.25,77.50,74.30,3.20,4.32,/india/stockpricequote/banks-publicsector/centralbankindia/CBO01 
Sterling Tools,368.90,339.35,365.20,350.15,15.05,4.31,/india/stockpricequote/fasteners/sterlingtools/ST 
ICRA,2749.40,2550.05,2712.60,2600.90,111.70,4.30,/india/stockpricequote/miscellaneous/icra/ICR 
NFL,40.40,37.30,39.25,37.65,1.60,4.29,/india/stockpricequote/fertilisers/nationalfertilizers/NF06 
Tata Motors (D),337.80,319.55,336.80,323.15,13.65,4.25,/india/stockpricequote/auto-lcvshcvs/tatamotors(dvr)/TMD 
Bank of Baroda,1060,1003.55,1057.50,1014.80,42.70,4.22,/india/stockpricequote/banks-publicsector/bankofbaroda/BOB 
MCX India,879.70,837.30,870.95,835.95,35,4.21,/india/stockpricequote/miscellaneous/multicommodityexchangeindia/MCE 
Finolex Ind,299,285.30,297.10,285.30,11.80,4.19,/india/stockpricequote/petrochemicals/finolexindustries/FI 
Bayer CropScien,2895,2703.10,2822.40,2711.25,111.15,4.14,/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12 
Tata Motors,547.55,520,545.25,523.90,21.35,4.10,/india/stockpricequote/auto-lcvshcvs/tatamotors/TM03 
Network 18,57.40,54.60,56.80,54.60,2.20,4.08,/india/stockpricequote/finance-general/network18mediainvestments/NMI 
Indoco Remedies,315,293,308.15,296.25,11.90,4.03,/india/stockpricequote/pharmaceuticals/indocoremedies/IR05 
Hi-Tech Gears,230,216.70,228.40,219.60,8.80,4.02,/india/stockpricequote/autoancillaries/hi-techgears/HTG 
Shriram EPC,39.75,37.65,39.15,37.65,1.50,4.01,/india/stockpricequote/engineering-heavy/shriramepc/SE03 
FAG Bearings,3110,2980.05,3095.85,2977.75,118.10,3.98,/india/stockpricequote/bearings/fagbearingsindia/FAG 
Zodiac JRD-MKJ,35.50,33.55,35.50,34.15,1.35,3.97,/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/zodiac-jrd-mkj/ZJR 
Automotive Axle,782.65,746.15,771.90,742.75,29.15,3.95,/india/stockpricequote/autoancillaries/automotiveaxles/AA06 
Precision Wires,135,125.20,131.70,126.75,4.95,3.92,/india/stockpricequote/metals-nonferrous/precisionwiresindia/PWI 
Vascon Engineer,28.50,26.65,28.05,27,1.05,3.91,/india/stockpricequote/constructioncontracting-realestate/vasconengineers/VE07 
Future Ret (D),55.80,51.70,55.05,53,2.05,3.89,/india/stockpricequote/retail/futureretail(india)-b-dvr/PRI 
CARE,1380,1330,1361,1310.70,50.30,3.87,/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR 
Hanung Toys,21.85,19.85,21.65,20.85,0.80,3.84,/india/stockpricequote/miscellaneous/hanungtoystextiles/HTT 
Bharat Rasayan,942,899.90,924.30,890.20,34.10,3.84,/india/stockpricequote/pesticidesagrochemicals/bharatrasayan/BR01 
Jeypore Sugar,84,84,84,80.95,3.05,3.83,/india/stockpricequote/sugar/jeyporesugarcompany/JSC 
8K Miles Soft,645.65,590,624.65,602.45,22.20,3.77,/india/stockpricequote/finance-investments/8kmilessoftwareservices/PMS01 
Surana Ventures,100,85.10,98.95,95.45,3.50,3.68,/india/stockpricequote/miscellaneous/suranaventures/SV05 
Wonderla,309.30,292.50,307,296.15,10.85,3.67,/india/stockpricequote/miscellaneous/wonderlaholidays/WH01 
Deccan Cements,430,407,410.05,395.80,14.25,3.66,/india/stockpricequote/cement-mini/deccancements/DC 
ANG Industries,29.50,26.25,29,28,1,3.60,/india/stockpricequote/autoancillaries/angindustries/ANG 
Times Guaranty,29,26.25,29,28,1,3.57,/india/stockpricequote/finance-leasinghirepurchase/timesguaranty/TG 
Kirloskar Oil,270,258.40,267.70,258.50,9.20,3.57,/india/stockpricequote/engines/kirloskaroilengines/KOE03 
Lloyd Electric,145.45,138.55,144.50,139.55,4.95,3.56,/india/stockpricequote/consumergoods-whitegoods/lloydelectricengineering/LEE 
Alstom T&D,417.50,390.05,415.25,401.10,14.15,3.55,/india/stockpricequote/power-transmissionequipment/alstomtdindia/ATD 
Finolex Cables,258,241,256.65,247.90,8.75,3.53,/india/stockpricequote/cables-telephone/finolexcables/FC01 
Motor and Gen F,38.40,37.50,38.40,37.10,1.30,3.53,/india/stockpricequote/finance-leasinghirepurchase/motorgeneralfinance/MGF 
Blue Star,378.90,352.10,366.70,354.35,12.35,3.50,/india/stockpricequote/consumergoods-whitegoods/bluestar/BS 
Techno Electric,338,318,324.85,313.95,10.90,3.49,/india/stockpricequote/electricequipment/technoelectricengineeringcompany/TEE 
India Cements,113.80,106.10,112.65,108.90,3.75,3.47,/india/stockpricequote/cement-major/indiacements/IC 
ESS DEE,394,370.15,383.35,370.70,12.65,3.44,/india/stockpricequote/packaging/essdeealuminium/ESS02 
Genus Power,27.65,25.10,27.35,26.45,0.90,3.41,/india/stockpricequote/electricals/genuspowerinfrastructures/GPI08 
Siti Cable,28,26.70,27.75,26.85,0.90,3.40,/india/stockpricequote/mediaentertainment/siticablenetwork/WWI 
Petron Engg,152.65,143.50,151.10,146.20,4.90,3.35,/india/stockpricequote/engineering/petronengineeringconstruction/PEC01 
Elecon Eng,53,50.55,52.55,50.85,1.70,3.35,/india/stockpricequote/engineering-heavy/eleconengineeringcompany/EEC 
KSK Energy Vent,77,73.70,75.95,73.50,2.45,3.34,/india/stockpricequote/power-generationdistribution/kskenergyventures/KEV 
Pratibha Ind,58.95,56.70,57.50,55.65,1.85,3.33,/india/stockpricequote/constructioncontracting-civil/pratibhaindustries/PI33 
Sundaram-Clayto,1630,1550,1627.30,1575.10,52.20,3.32,/india/stockpricequote/autoancillaries/sundaram-clayton/SC 
JM Financial,47.35,45,46.85,45.35,1.50,3.31,/india/stockpricequote/finance-investments/jmfinancial/JMF 
Sanghvi Movers,174.95,160.60,171.70,166.20,5.50,3.31,/india/stockpricequote/engineering-heavy/sanghvimovers/SM10 
ALSTOM India,604,555.65,594.65,575.65,19,3.31,/india/stockpricequote/power-transmissionequipment/alstomindia/AP29 
ADF Foods,63.40,57.05,61.30,59.35,1.95,3.30,/india/stockpricequote/foodprocessing/adffoodsindustries/AF30 
Torrent Pharma,969.75,944,967.25,936.50,30.75,3.29,/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06 
HT Media,113.80,107.50,109.40,105.95,3.45,3.28,/india/stockpricequote/mediaentertainment/htmedia/HT 
Gulf Oil Lubri,396.65,372.25,383.55,371.50,12.05,3.26,/india/stockpricequote/lubricants/gulfoillubricants/GOL01 
Religare Enterp,342,316.10,332.05,321.70,10.35,3.24,/india/stockpricequote/finance-investments/religareenterprises/RE09 
Surana Telecom,49.25,40,44.85,43.45,1.40,3.22,/india/stockpricequote/cables-telephone/suranatelecompower/ST12 
Onward Tech,59.65,56.25,57.90,56.10,1.80,3.22,/india/stockpricequote/computers-softwaremediumsmall/onwardtechnologies/OT 
DCB Bank,105,100.10,104.85,101.60,3.25,3.21,/india/stockpricequote/banks-privatesector/dcbbank/DCB01 
Gammon India,34.80,33,34.15,33.10,1.05,3.20,/india/stockpricequote/constructioncontracting-civil/gammonindia/GI03 
Federal Bank,144.50,140.45,144,139.60,4.40,3.17,/india/stockpricequote/banks-privatesector/federalbank/FB 
PSU BANK BEES,439,421,434.27,421.24,13.03,3.15,/india/stockpricequote/finance-investments/goldmansachspsubankexchangetradedscheme/BMF 
Vardhman Acryli,23.75,22.75,23.50,22.80,0.70,3.09,/india/stockpricequote/textiles-manmade/vardhmanacrylics/VA08 
Thomas Cook,186.10,178,184.35,178.90,5.45,3.07,/india/stockpricequote/miscellaneous/thomascook(india)/TCI 
Adani Power,47.50,45.30,47.25,45.85,1.40,3.05,/india/stockpricequote/power-generationdistribution/adanipower/AP11 
OnMobile Global,53.40,50.15,52.80,51.25,1.55,3.05,/india/stockpricequote/computers-softwaremediumsmall/onmobileglobal/OG01 
Suprajit Eng,126.80,120.15,124.80,121.15,3.65,3.02,/india/stockpricequote/autoancillaries/suprajitengineering/SE15 
MMTC Ltd,68.30,64.60,66.95,65,1.95,3.01,/india/stockpricequote/trading/mmtc/MMT 
Tata Global Bev,161.90,154.35,159.90,155.25,4.65,3,/india/stockpricequote/plantations-teacoffee/tataglobalbeverage/TT 
Mahindra Ugine,574.50,530.60,565.15,548.75,16.40,3,/india/stockpricequote/steel-mediumsmall/mahindrauginesteelcompany/MUS 
Usher Agro,61.80,59,60.50,58.75,1.75,2.99,/india/stockpricequote/foodprocessing/usheragro/UA01 
Igarashi Motors,314.15,296.05,307.20,298.30,8.90,2.98,/india/stockpricequote/electricequipment/igarashimotors/IM01 
Kotak PSU Bank,418.95,404.50,416.57,404.54,12.03,2.98,/india/stockpricequote/finance-investments/kotakmahindramf-kotakpsubanketf/KMM 
MOSt M50 ETF,82.80,79.20,81.91,79.55,2.36,2.97,/india/stockpricequote/finance-investments/motilaloswalmostsharesm50etf/MOM 
Super Sales,319,295,314,304.95,9.05,2.97,/india/stockpricequote/textiles-spinning-cottonblended/supersalesindia/SSI13 
Century Enka,163.25,156,162.10,157.45,4.65,2.97,/india/stockpricequote/textiles-manmade/centuryenka/CE 
Asian Paints,694.95,675,691.95,672.20,19.75,2.95,/india/stockpricequote/paintsvarnishes/asianpaints/AP31 
Trent,1532.95,1449,1517.35,1474.15,43.20,2.94,/india/stockpricequote/retail/trent/T04 
AIA Engineering,1115,1075,1108,1076.60,31.40,2.93,/india/stockpricequote/engineering-heavy/aiaengineering/AIE01 
Radico Khaitan,84.50,81.55,83.75,81.40,2.35,2.92,/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01 
JK Tyre & Ind,545,522,532.10,517.15,14.95,2.89,/india/stockpricequote/tyres/jktyreindustries/JKT01 
Tree House,459.80,429.80,444.70,432.35,12.35,2.89,/india/stockpricequote/computers-software-training/treehouseeducationaccessories/THE01 
Bosch,17176,16628.40,17033.25,16563.10,470.15,2.86,/india/stockpricequote/autoancillaries/bosch/B05 
UCAL Fuel,133.20,125.50,130.15,126.55,3.60,2.84,/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS 
Upper Ganges,42.75,40.05,41.80,40.65,1.15,2.84,/india/stockpricequote/sugar/uppergangessugar/UGS 
Mayur Uniquoter,438,422,434.65,422.70,11.95,2.83,/india/stockpricequote/plastics/mayuruniquoters/MU 
Agro Tech Foods,629.90,602.50,625.80,608.60,17.20,2.83,/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF 
Akzo Nobel,1291.85,1227.65,1288.45,1253.10,35.35,2.83,/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI 
ICICI Gold ETF,2526,2456,2500.40,2432,68.40,2.82,/india/stockpricequote/finance-investments/iciciprudentialgoldexchangetradedfund/ICI10 
Manappuram Fin,35.40,33.90,34.75,33.80,0.95,2.81,/india/stockpricequote/finance-leasinghirepurchase/manappuramfinance/MGF01 
IDBI Gold ETF,2549.95,2487,2543,2473.80,69.20,2.81,/india/stockpricequote/finance-investments/idbigoldexchangetradedfund/IDB06 
Voltas,279.95,269.25,279.15,271.55,7.60,2.80,/india/stockpricequote/diversified/voltas/V 
Reliance Infra,641.75,615.20,638.45,621.10,17.35,2.80,/india/stockpricequote/power-generationdistribution/relianceinfrastructure/RI38 
SBI Gold ETF,2485,2436,2482.55,2415.50,67.05,2.79,/india/stockpricequote/finance-investments/sbimutualfund-goldexchangetradedscheme/SBI16 
Chambal Fert,71.10,68.25,70.60,68.70,1.90,2.78,/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC 
PNB,967.35,933,964.35,938.60,25.75,2.77,/india/stockpricequote/banks-publicsector/punjabnationalbank/PNB05 
R Shares Gold,2374,2322,2370.60,2307.60,63,2.74,/india/stockpricequote/finance-investments/r*sharesgoldetf/RMF 
Global Offshore,535,507,523.35,509.45,13.90,2.73,/india/stockpricequote/shipping/globaloffshoreservices/GOS 
IRB Infra,279,262.40,275.15,267.85,7.30,2.73,/india/stockpricequote/infrastructure-general/irbinfrastructuredevelopers/IID01 
Rain Industries,51.85,49.10,50.95,49.60,1.35,2.73,/india/stockpricequote/cement-major/rainindustries/RC12 
Asian Hotel (W),115.90,109,115.85,112.80,3.05,2.72,/india/stockpricequote/hotels/asianhotels(west)/AHW 
Huhtamaki PPL,187,177.05,184.45,179.60,4.85,2.70,/india/stockpricequote/packaging/huhtamakippl/PP 
Balmer Lawrie,587,562.10,580.80,565.55,15.25,2.70,/india/stockpricequote/packaging/balmerlawriecompany/BLC 
GNFC,92.30,89.20,91.65,89.25,2.40,2.70,/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV 
Jindal Saw,103.60,97.15,101.45,98.80,2.65,2.69,/india/stockpricequote/steel-tubespipes/jindalsaw/JS08 
MOSt Gold ETF,2559.30,2461.05,2505.15,2440,65.15,2.68,/india/stockpricequote/finance-investments/motilaloswalmostsharesgoldetf/MOM03 
Religare Gold,2519.95,2472.75,2500,2435.25,64.75,2.67,/india/stockpricequote/finance-investments/religaregoldexchangetradedfund/RGE 
Andhra Bank,89.35,86.15,89.05,86.75,2.30,2.66,/india/stockpricequote/banks-publicsector/andhrabank/AB14 
Welspun Invest,36,32.30,35,34.10,0.90,2.65,/india/stockpricequote/finance-investments/welspuninvestmentscommercials/WIC01 
Oil Country,41.80,39.65,41.05,40,1.05,2.64,/india/stockpricequote/steel-tubespipes/oilcountrytubular/OCT 
Texmaco Rail,115.60,108.50,112.75,109.90,2.85,2.63,/india/stockpricequote/infrastructure-general/texmacorailengineering/TRE 
Corporation Bk,331.75,320,330.25,321.90,8.35,2.59,/india/stockpricequote/banks-publicsector/corporationbank/CB 
Torrent Power,157.50,151.20,156.20,152.30,3.90,2.59,/india/stockpricequote/power-generationdistribution/torrentpower/TP14 
TD Power System,457,428,450.70,439.50,11.20,2.56,/india/stockpricequote/engineering-heavy/tdpowersystems/TPS01 
PPAP Automotive,125.15,117,125,121.90,3.10,2.55,/india/stockpricequote/autoancillaries/ppapautomotive/PPP03 
Axis Gold ETF,2486,2448.25,2474.70,2413.35,61.35,2.54,/india/stockpricequote/finance-investments/axismutualfund-goldetf/AMF02 
Kotak MF-GETF,2464.50,2401,2424.05,2364.20,59.85,2.54,/india/stockpricequote/finance-investments/kotakmutualfund-goldexchangetradedfund/KMF03 
Thangamayil,191.05,182.10,189.75,185.10,4.65,2.53,/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/thangamayiljewellery/TJ 
Birla Ericsson,68.20,62.75,67.35,65.70,1.65,2.51,/india/stockpricequote/cables-telephone/birlaericssonopticals/BEO 
Birla Corp,504.20,476,492.60,480.55,12.05,2.51,/india/stockpricequote/cement-major/birlacorporation/BC07 
Vipul,41.50,39.50,41.30,40.30,1,2.51,/india/stockpricequote/constructioncontracting-realestate/vipul/V04 
DQ Entertain,28.35,25.80,26.95,26.30,0.65,2.48,/india/stockpricequote/mediaentertainment/dqentertainmentinternational/DEI01 
Gallantt Ispat,395.70,393,395.45,385.95,9.50,2.47,/india/stockpricequote/steel-spongeiron/gallanttispat/GI 
Prakash Steelag,165,151.10,153.90,150.20,3.70,2.46,/india/stockpricequote/steel-tubespipes/prakashsteelage/PS16 
Quantum Gold,1241,1211,1231.80,1202.20,29.60,2.46,/india/stockpricequote/finance-investments/quantumgoldfund-exchangetradedfund(etf)/QGF 
Reliance Comm,106,101.45,105.30,102.80,2.50,2.46,/india/stockpricequote/telecommunications-service/reliancecommunications/RC13 
Balaji Telefilm,79,75,78.20,76.35,1.85,2.43,/india/stockpricequote/mediaentertainment/balajitelefilms/BT06 
HOEC,51.95,48.80,50.95,49.75,1.20,2.42,/india/stockpricequote/oildrillingandexploration/hindustanoilexplorationcompany/HOE01 
Munjal Auto Ind,118.20,112,116.90,114.15,2.75,2.41,/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04 
Ganesh Housing,140.05,135,138.10,134.85,3.25,2.41,/india/stockpricequote/constructioncontracting-housing/ganeshhousingcorporation/GHC02 
Astral Poly Tec,403.30,380,398.50,389.15,9.35,2.41,/india/stockpricequote/plastics/astralpolytechnik/APT02 
Coromandel Int,323.80,312.20,321.85,314.30,7.55,2.40,/india/stockpricequote/fertilisers/coromandelinternational/CI45 
TIL,416.95,402,412.80,403.20,9.60,2.40,/india/stockpricequote/engineering-heavy/til/TIL 
Technocraft Ind,195.45,185.20,189.25,184.85,4.40,2.38,/india/stockpricequote/steel-mediumsmall/technocraftindustries(india)/TII01 
Zodiac Clothing,389.75,371.15,381.90,373.10,8.80,2.38,/india/stockpricequote/textiles-readymadeapparels/zodiacclothingcompany/ZCC 
Kirloskar Invt,3825,3620,3801.50,3713.85,87.65,2.36,/india/stockpricequote/finance-general/kirloskarbrothersinvestments/KBI01 
Indraprastha,52.45,51,52.10,50.90,1.20,2.36,/india/stockpricequote/hospitalsmedicalservices/indraprasthamedicalcorporation/IMC03 
Summit Sec,297.20,281.05,291.70,285,6.70,2.36,/india/stockpricequote/finance-investments/summitsecurities/SS56 
Tamil Newsprint,142,138,141.50,138.25,3.25,2.35,/india/stockpricequote/paper/tamilnadunewsprintpapers/TNN 
CenturyPlyboard,141.90,135.50,140.20,137,3.20,2.35,/india/stockpricequote/miscellaneous/centuryplyboards/CP9 
Peacock Ind,22,21.50,22,21.50,0.50,2.34,/india/stockpricequote/plastics/peacockindustries/PI08 
Shalimar Paints,160,152.75,158.60,155,3.60,2.33,/india/stockpricequote/paintsvarnishes/shalimarpaints/SP13 
MPS,738.80,705,722.35,705.95,16.40,2.32,/india/stockpricequote/printingstationery/mps/MI31 
Orient Cement,148.65,137,143.35,140.10,3.25,2.32,/india/stockpricequote/cement-major/orientcement/OC10 
Gillanders Arbu,75,71.25,73.70,72.05,1.65,2.32,/india/stockpricequote/plantations-teacoffee/gillandersarbuthnotco/GAC03 
Kakatiya Cement,110,105.90,109.85,107.40,2.45,2.29,/india/stockpricequote/cement-mini/kakatiyacements/KC01 
Jamna Auto,154,146.60,153.15,149.75,3.40,2.28,/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI 
Oudh Sugar Mill,23.30,21.20,22.70,22.20,0.50,2.27,/india/stockpricequote/sugar/oudhsugarmills/OSM 
BF Investment,119,114,117.05,114.50,2.55,2.25,/india/stockpricequote/finance-investments/bfinvestment/BFI 
Can Fin Homes,510,502,504.25,493.25,11,2.23,/india/stockpricequote/finance-housing/canfinhomes/CFH 
Capri Global,217,205.05,215.10,210.45,4.65,2.23,/india/stockpricequote/finance-general/capriglobalcapital/MMF05 
Triveni Engg,28.65,27,27.80,27.20,0.60,2.21,/india/stockpricequote/sugar/triveniengineeringindustries/TE10 
Timken,455.60,441.50,451.35,441.65,9.70,2.21,/india/stockpricequote/bearings/timkenindia/TI23 
GIC Housing Fin,192.05,187.25,190.85,186.75,4.10,2.20,/india/stockpricequote/finance-housing/gichousingfinance/GIC 
NHPC,21.05,20.30,20.95,20.50,0.45,2.20,/india/stockpricequote/power-generationdistribution/nhpc/N07 
Hero Motocorp,3040.85,2950.05,3028.90,2964.40,64.50,2.20,/india/stockpricequote/auto-23wheelers/heromotocorp/HHM 
Mahindra Life,531.90,509.20,528.10,516.85,11.25,2.18,/india/stockpricequote/constructioncontracting-civil/mahindralifespacedevelopers/MLD 
Jindal Poly Inv,130.40,121.30,126.90,124.20,2.70,2.18,/india/stockpricequote/finance-general/jindalpolyinvestmentfinancecompany/JPI02 
HDFC Gold ETF,2544.90,2510,2529.20,2475.65,53.55,2.17,/india/stockpricequote/finance-investments/hdfcmutualfund-goldexchangetradedfund/HDF02 
Crompton Greave,194.70,188.35,194.10,190,4.10,2.16,/india/stockpricequote/electricequipment/cromptongreaves/CG 
