CompanyName,CurrentPrice,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,VolumeRating,EPS,EPSRating,StandaloneProfit,Recommendation,News,API
SKM Egg Product,112.65,681843,143229,107509,189204,4 star,2.58,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexport(india)/SKM
Bliss GVS,74.05,247086,326676,187116,154119,3 star,5.23,1 star,,,30.10.2014@ Bliss GVS: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blissgvspharma/BGV
Oswal Minerals,25.25,3,981,794,460,3 star,3.40,1 star,Yes,,20.08.2014@ Oswal Minerals standalone Jun '14 sales at Rs 207.26 crore,http://www.moneycontrol.com/india/stockpricequote/miningminerals/oswalminerals/OM02
Transformers,217.45,36858,13501,17129,11482,4 star,3.62,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/transformersrectifiersindia/TRI
Dynacons Sys,16.00,4500,2480,1950,2118,5 star,0.98,1 star,Yes,,14.11.2014@ Dynacons Sys standalone Sep '14 total income from operations at Rs 29.49 crore,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/dynaconssystemssolutions/DSS01
Info Drive Soft,4.95,20077,24438,26917,16978,2 star,0.07,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/infodrivesoftware/IDS01
Digjam,11.45,638998,544208,344474,215497,5 star,0.03,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/digjam/D05
Arrow Textiles,16.25,169863,40414,54947,24725,4 star,1.88,1 star,Yes,,06.11.2014@ Arrow Textiles standalone Sep '14 sales at Rs 11.61 crore,http://www.moneycontrol.com/india/stockpricequote/textilesweaving/arrowtextiles/AT20
Man Infra,34.45,2909760,6911769,3522851,1236532,3 star,5.77,1 star,,,25.11.2014@ Will launch 4-5 projects by Q3 end: Man Infraconstruction,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/maninfraconstruction/MI37
JK Tyre & Ind,616.70,889544,1479311,1010414,917063,3 star,32.80,2 star,,HOLD,25.11.2014@ Hold JK Tyre may test Rs 700-750: Nooresh Merani,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
Nakoda,2.75,13183,82010,158912,105877,2 star,2.47,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/nakoda/NTI
J Kumar Infra,437.00,27764,58159,90265,68048,2 star,30.23,2 star,Yes,,13.11.2014@ J Kumar Infra standalone Sep '14 sales at Rs 300.24 crore,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01
JM Financial,51.75,981122,1848341,1331854,1182440,3 star,0.94,1 star,,,21.11.2014@ JM Financial up 6% on additional capital commitment to arm,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF
BS Limited,24.70,341440,642509,617010,563314,3 star,1.43,1 star,,,27.10.2014@ BS Limited: Updates on outcome of AGM,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/bslimited/BT
Atul Auto,460.20,67750,359536,243985,133150,3 star,27.16,2 star,,BUY,22.11.2014@ Birla Sun Life buys 2 lakh shares of Atul Auto,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/atulauto/AA08
Archidply Ind,38.80,101895,79415,81973,93671,4 star,1.82,1 star,Yes,,02.06.2014@ Archidply Ind standalone Mar '14 sales at Rs 64.75 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
Weizmann Forex,277.00,1180,7859,10448,8398,2 star,15.81,1 star,,,07.11.2014@ Weizmann Forex: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/weizmannforex/WF02
IGL,447.45,374266,540377,564660,518149,2 star,25.73,2 star,,,12.11.2014@ Indraprastha Gas Q2 PAT jump 28% to Rs 119 cr,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Transport Corp,283.50,86242,280663,417666,277498,2 star,8.50,1 star,,,03.11.2014@ See freight margins rebound to 15% RoCE: Transport Corp,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/transportcorporationindia/TCI04
Metkore Alloys,8.60,1553,11636,12307,11855,2 star,2.05,1 star,Yes,,17.11.2014@ Metkore Alloys standalone Sep '14 sales at Rs 79.49 crore,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/metkorealloysindustries/GMR02
Global Offshore,627.00,26722,115494,92456,55531,3 star,9.29,1 star,,,22.11.2014@ Global Offshore appoints Anil Devli as CEO,http://www.moneycontrol.com/india/stockpricequote/shipping/globaloffshoreservices/GOS
EIH Assoc Hotel,219.50,515,6183,4702,3004,3 star,7.73,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/hotels/eihassociatedhotels/EIH01
V-Guard Ind,1121.95,21282,82094,71501,44295,3 star,23.50,1 star,Yes,,05.11.2014@ V-Guard Ind standalone Sep '14 sales at Rs 431.25 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vguardindustries/VI02
Shanthi Gears,139.30,47948,125735,126946,106751,2 star,2.25,1 star,Yes,,28.10.2014@ Shanthi Gears standalone Sep '14 sales at Rs 37.73 crore,http://www.moneycontrol.com/india/stockpricequote/engineering/shanthigears/SG04
Zydus Wellness,711.20,49257,32638,39809,31092,4 star,24.69,1 star,Yes,,06.11.2014@ Zydus Wellness consolidated Sep '14 sales at Rs 103.03 crore,http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
Innoventive Ind,15.25,500,8134,7211,4895,3 star,9.48,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/innoventiveindustries/II02
Guj State Petro,112.00,3147650,2714876,1764438,1164620,5 star,7.45,1 star,,,25.11.2014@ Motilal Oswal neutral on Gujarat State Petronet,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
HUL,783.10,489100,853812,781245,830484,3 star,17.88,1 star,,BUY*,27.11.2014@ Buy Hindustan Unilever advises Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
Bajaj Finserv,1119.00,17329,211093,231793,126928,2 star,5.24,1 star,,HOLD,15.10.2014@ Hold Bajaj Finserv; target of Rs 1160: Sharekhan,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
Celestial Labs,29.90,28155,82339,85888,85822,2 star,0.49,1 star,Yes,,03.06.2014@ Celestial Labs standalone Mar '14 sales at Rs 8.20 crore,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/celestiallabs/CL05
Asian Paints,711.85,786038,1097510,1733965,1516419,2 star,12.19,1 star,,,26.11.2014@ Asian Paints may touch Rs 735-740: Kunal Bothra,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Vaibhav Global,615.00,48591,267738,187256,73701,3 star,15.47,1 star,,,21.11.2014@ Expect 15-20% vol growth in next few years: Vaibhav Global,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vaibhavglobal/VG02
Mah Scooters,1016.00,1290,10922,6578,4601,3 star,41.65,2 star,Yes,,18.07.2014@ Mah Scooters standalone Jun '14 sales at Rs 1.36 crore,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/maharashtrascooters/MS01
Castrol,480.70,214351,737769,847114,441725,2 star,10.28,1 star,,,13.11.2014@ Castrol may test Rs 464-465: Abhijit Paul,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
Tata Coffee,1011.05,76027,280404,268445,132308,3 star,57.06,3 star,,,17.11.2014@ Tata Coffee to consider sub division of equity shares,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14
Flexituff Intl,215.00,15930,21512,35860,30759,2 star,5.13,1 star,Yes,,06.11.2014@ Flexituff Intl consolidated Sep '14 sales at Rs 290.50 crore,http://www.moneycontrol.com/india/stockpricequote/packaging/flexituffinternational/FI08
Petronet LNG,198.35,406228,1337882,1093194,1276920,3 star,9.49,1 star,,,07.11.2014@ Petronet LNG Q2 profit jumps 68% on operational performance,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN
M&M,1287.00,488407,1510942,1200382,1064172,3 star,61.02,3 star,,BUY*,26.11.2014@ Buy Mahindra and Mahindra on dips: Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM
Manjushree Tech,400.00,6427,35140,47565,31995,2 star,19.48,1 star,Yes,,28.10.2014@ Manjushree Tech standalone Sep '14 sales at Rs 104.77 crore,http://www.moneycontrol.com/india/stockpricequote/packaging/manjushreetechnopack/MT14
Speciality Rest,184.85,9845,32619,131346,74626,2 star,4.02,1 star,,,19.11.2014@ To launch 12-15 stores this year: Speciality Restaurants,http://www.moneycontrol.com/india/stockpricequote/hotels/specialityrestaurants/SR06
Visaka Ind,131.75,25354,133735,95343,49011,3 star,7.54,1 star,,BUY,25.11.2014@ Buy Visaka Industries; target of Rs 174: Angel Broking,http://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/visakaindustries/VI11
Cipla,632.00,462162,2597671,2191440,1763861,3 star,17.29,1 star,,,26.11.2014@ Go long in Cipla says Ashish Chaturmohta,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
